name,district,party,role,region,twitter_id,twitter_name,marpor_affiliation,per101,per102,per103_1,per103_2,per104,per105,per106,per107,per108,per109,per110,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per203,per204,per301,per302,per303,per304,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per401,per402,per403,per404,per405,per406,per407,per408,per408.1,per408.2,per408.3,per410,per411,per412,per413,per414,per415,per416_1,per416_2,per501,per502,per503,per504,per505,per506,per507,per601_1,per601_2,per602_1,per602_2,per603,per604,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per701,per702,per703_1,per703_2,per704,per705,per706,rile,planeco,markeco,welfare,intpeace,PC1,PC2
Vlado Mirosevic Verdugo,1,PL,deputy,Region de Arica y Parinacota (3),14989742,@vladomirosevic,"If you want it, Chile changes",1.5659999999999998,0.0,0.0,0.0,2.281,0.102,0.0,1.464,0.8170000000000001,0.17,0.0,0.102,2.451,1.975,0.0,0.102,0.34,0.0,1.702,1.294,0.0,0.8170000000000001,0.613,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.136,14.334,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,3.882,0.545,0.136,0.0,0.0,2.656,3.439,8.512,9.431000000000001,9.057,0.0,8.274000000000001,0.0,0.0,0.0,0.0,0.034,0.0,11.168,1.873,2.9960000000000004,0.17,0.0,0.0,0.0,1.09,0.0,0.0,0.0,3.779,0.0,0.987,0.0,0.272,0.0,0.0,-37.011,18.59,0.136,18.488,0.102,-0.29816927131997595,0.8472389996378475
Nino Baltolu Rasera,1,UDI,deputy,Region de Arica y Parinacota (3),979426217970556928,@ninobaltolu,Independent Democratic Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.6759999999999999,0.0,0.0,0.0,0.0,0.0,2.027,0.0,2.027,0.6759999999999999,29.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.432,4.73,0.0,0.0,0.0,0.0,0.0,0.0,1.351,4.0539999999999985,17.567999999999998,4.73,0.0,9.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027,0.0,3.378,0.0,0.0,0.0,2.027,0.0,0.0,0.0,0.6759999999999999,0.0,0.0,0.0,0.0,0.0,6.081,16.892,0.6759999999999999,0.0,22.297,0.0,0.012801921749465853,0.15200214030476875
Luis Rocafull LÃ³pez,1,PS,deputy,Region de Arica y Parinacota (3),1113560298533859329,@diputadorocaful,New Majority for Chile/Socialist Party of Chile,0.0,0.0,0.0,0.0,0.7120000000000001,0.5630000000000001,0.0,0.059,1.779,0.0,0.0,0.03,2.668,4.477,0.0,0.03,0.03,0.0,1.364,5.188,0.0,6.462999999999999,0.08900000000000001,2.372,0.0,0.03,0.0,0.0,0.0,0.119,1.749,6.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.032,10.91,0.29600000000000004,0.119,0.919,0.0,0.0,1.393,0.059,7.086,9.102,8.627,0.0,6.937,0.0,0.0,0.0,0.0,0.474,0.03,0.267,2.846,0.0,0.652,0.0,0.03,0.0,3.439,0.0,0.0,0.0,3.617,0.326,2.194,0.0,0.0,0.0,2.579,-18.974,6.641,1.038,17.729,0.5630000000000001,-0.681506190035833,0.5507990782620341
Renzo Trisotti MartÃ­nez,2,UDI,deputy,Region de Tarapaca (3),282313940,@renzotrisotti,Independent Democratic Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.351,0.0,0.0,0.0,0.0,0.0,0.6759999999999999,0.0,0.0,0.0,0.0,0.0,2.027,0.0,2.027,0.6759999999999999,29.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6759999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.432,4.73,0.0,0.0,0.0,0.0,0.0,0.0,1.351,4.0539999999999985,17.567999999999998,4.73,0.0,9.459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027,0.0,3.378,0.0,0.0,0.0,2.027,0.0,0.0,0.0,0.6759999999999999,0.0,0.0,0.0,0.0,0.0,6.081,16.892,0.6759999999999999,0.0,22.297,0.0,0.4696575409094853,-0.32983328115235666
RamÃ³n Galleguillos Castillo,2,RN,deputy,Region de Tarapaca (3),259877309,@ramongallec,National Renewal,1.133,0.0,0.0,0.0,3.616,0.324,0.7020000000000001,2.86,1.295,0.7020000000000001,0.0,1.133,1.673,6.53,0.0,0.0,0.0,0.0,0.054000000000000006,3.4,0.0,8.851000000000003,8.311,0.054000000000000006,0.0,0.0,0.0,0.0,0.917,4.101,0.054000000000000006,3.076,0.21600000000000005,0.0,0.0,1.673,0.0,0.0,0.0,0.0,1.187,1.511,0.0,0.0,0.0,0.0,0.0,2.806,5.505,5.181,2.644,5.774,3.778,6.26,0.0,0.108,0.0,0.0,0.0,0.324,0.0,7.501,0.0,0.971,0.0,0.0,0.0,1.295,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,1.241,2.213,-0.809,3.292,4.101,8.419,1.025,-0.8844234256578323,0.4079174723239709
Hugo GutiÃ©rrez GÃ¡lvez,2,PC,deputy,Region de Tarapaca (3),169979854,@Hugo_Gutierrez_,New Majority for Chile,0.246,0.0,0.031,0.0,0.338,0.431,0.092,0.861,0.6459999999999999,0.0,0.0,0.062,2.214,8.363999999999999,0.031,0.0,0.6459999999999999,0.0,0.431,4.336,0.0,2.276,0.523,0.123,0.062,0.0,0.062,0.092,0.154,0.215,0.461,6.396,0.338,0.338,0.0,0.0,1.23,1.23,1.23,1.23,1.907,16.359,0.0,0.0,0.0,0.0,0.0,3.536,4.551,4.52,4.613,12.7,0.092,1.937,0.0,0.031,0.0,0.031,0.0,0.031,0.308,4.428,0.123,0.892,0.338,1.845,0.277,1.568,0.0,0.0,0.031,2.737,0.0,1.599,0.0,0.123,1.199,3.044,-24.938,6.734,0.215,17.312,0.523,0.09711989248476792,-0.5299868916076829
Paulina NÃºÃ±ez Urrutia,3,RN,deputy,Region de Antofagasta (5),75895791,@paulinanu,National Renewal,1.133,0.0,0.0,0.0,3.616,0.324,0.7020000000000001,2.86,1.295,0.7020000000000001,0.0,1.133,1.673,6.53,0.0,0.0,0.0,0.0,0.054000000000000006,3.4,0.0,8.851000000000003,8.311,0.054000000000000006,0.0,0.0,0.0,0.0,0.917,4.101,0.054000000000000006,3.076,0.21600000000000005,0.0,0.0,1.673,0.0,0.0,0.0,0.0,1.187,1.511,0.0,0.0,0.0,0.0,0.0,2.806,5.505,5.181,2.644,5.774,3.778,6.26,0.0,0.108,0.0,0.0,0.0,0.324,0.0,7.501,0.0,0.971,0.0,0.0,0.0,1.295,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,1.241,2.213,-0.809,3.292,4.101,8.419,1.025,1.5096524020969306,1.0416272923614094
JosÃ© Miguel Castro BascuÃ±Ã¡n,3,RN,deputy,Region de Antofagasta (5),889304496253411328,@dip_jmcastro,National Renewal,1.133,0.0,0.0,0.0,3.616,0.324,0.7020000000000001,2.86,1.295,0.7020000000000001,0.0,1.133,1.673,6.53,0.0,0.0,0.0,0.0,0.054000000000000006,3.4,0.0,8.851000000000003,8.311,0.054000000000000006,0.0,0.0,0.0,0.0,0.917,4.101,0.054000000000000006,3.076,0.21600000000000005,0.0,0.0,1.673,0.0,0.0,0.0,0.0,1.187,1.511,0.0,0.0,0.0,0.0,0.0,2.806,5.505,5.181,2.644,5.774,3.778,6.26,0.0,0.108,0.0,0.0,0.0,0.324,0.0,7.501,0.0,0.971,0.0,0.0,0.0,1.295,0.0,0.0,0.0,0.971,0.0,0.0,0.0,0.0,1.241,2.213,-0.809,3.292,4.101,8.419,1.025,0.6539221651578879,0.21345349446090767
Marcela Hernando PÃ©rez,3,PR,deputy,Region de Antofagasta (5),612883967,@MarcelaHernando,New Majority for Chile,0.246,0.0,0.031,0.0,0.338,0.431,0.092,0.861,0.6459999999999999,0.0,0.0,0.062,2.214,8.363999999999999,0.031,0.0,0.6459999999999999,0.0,0.431,4.336,0.0,2.276,0.523,0.123,0.062,0.0,0.062,0.092,0.154,0.215,0.461,6.396,0.338,0.338,0.0,0.0,1.23,1.23,1.23,1.23,1.907,16.359,0.0,0.0,0.0,0.0,0.0,3.536,4.551,4.52,4.613,12.7,0.092,1.937,0.0,0.031,0.0,0.031,0.0,0.031,0.308,4.428,0.123,0.892,0.338,1.845,0.277,1.568,0.0,0.0,0.031,2.737,0.0,1.599,0.0,0.123,1.199,3.044,-24.938,6.734,0.215,17.312,0.523,0.18525995146917754,-0.5834140023730031
Esteban VelÃ¡squez NÃºÃ±ez,3,FREVS,deputy,Region de Antofagasta (5),1928056476,@CalamaVelasquez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.9624985373595712,0.8565256122904776
